Age,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,LoanApproved
49,611,Employed,Bachelor,30,17466,48,Married,3,Own,336,0.2800815869769942,1,0,0,Auto,0,23,12,3167,1547,44944,30121,2081.083333333333,0.8723462860748266,9,0
56,574,Employed,Associate,37,16443,24,Divorced,0,Own,733,0.2834741820252165,2,1,0,Home,0,23,20,2682,548,204131,11483,1520.6666666666667,0.9338919368558886,2,0
39,615,Self-Employed,Associate,15,26889,48,Married,1,Mortgage,317,0.0079659183933911,4,0,0,Debt Consolidation,0,29,24,8241,5430,115099,16012,5613.916666666667,0.5254568787953385,4,1
52,647,Employed,Bachelor,29,32208,12,Married,2,Rent,447,0.4134019823146939,1,0,0,Auto,0,26,3,2926,533,326015,12696,2701.5,0.7782867665556822,3,0
44,649,Employed,Bachelor,21,20313,60,Married,1,Rent,562,0.4332425002437474,3,2,0,Home,0,22,29,4029,3740,94575,23485,2239.9166666666665,0.7542214073775044,5,0
32,620,Employed,Bachelor,11,20676,36,Single,0,Mortgage,322,0.2634989466223707,2,1,0,Home,0,32,7,4943,388,92000,4196,4510.666666666667,0.7899474592022075,1,1
44,535,Employed,High School,20,21767,48,Married,0,Mortgage,495,0.2453260140229627,3,0,0,Education,0,32,19,21032,1679,22711,8051,1660.3333333333333,0.8144556737015609,8,0
58,672,Employed,Bachelor,34,18243,36,Married,2,Mortgage,153,0.2979257232305213,3,0,0,Debt Consolidation,0,20,21,1980,1139,13542,32218,7565.666666666667,0.7530314751383508,6,1
39,619,Employed,Master,16,28894,36,Single,3,Mortgage,304,0.2636491392588649,4,1,0,Other,0,24,8,2857,956,154003,38230,15870.416666666666,0.9612516119421664,6,1
58,612,Employed,High School,38,25313,24,Married,1,Mortgage,424,0.291020375896654,3,0,0,Education,0,20,26,2811,3235,123931,4752,2947.6666666666665,0.8572348846551523,3,0
18,570,Employed,Associate,0,50226,48,Married,1,Mortgage,537,0.2081155309488201,10,0,0,Debt Consolidation,1,16,26,3575,3286,153676,71478,1250.0,0.7835636283739139,3,0
49,617,Employed,Bachelor,25,25478,36,Married,1,Mortgage,785,0.0732205581912403,3,0,0,Auto,0,11,14,2267,1111,42122,7348,3402.4166666666665,0.9519486310258534,0,0
41,523,Employed,Associate,16,26493,96,Single,4,Mortgage,206,0.4153044222038413,4,0,0,Other,0,24,13,2003,1731,64414,41991,4887.916666666667,0.8527137197285295,1,0
36,531,Employed,Bachelor,14,18652,36,Single,0,Rent,1044,0.1655157134903838,1,2,0,Auto,1,30,16,1810,630,446359,16938,5733.416666666667,0.554409422563644,2,0
41,619,Employed,Bachelor,19,31116,48,Single,1,Rent,396,0.1230518515092504,4,1,0,Home,0,20,3,3025,1004,11209,14838,7727.583333333333,0.5537108281243177,3,0
18,545,Self-Employed,Doctorate,0,112253,48,Married,1,Rent,406,0.3061276212624648,4,1,0,Home,1,33,2,1506,726,18390,29714,3337.5,0.9370302423573678,4,0
37,618,Employed,Master,14,41465,72,Married,0,Own,370,0.1743262446861453,3,0,0,Home,0,26,27,21978,1394,197632,25549,3398.6666666666665,0.8315009890937338,4,0
44,588,Employed,High School,23,26563,48,Married,0,Mortgage,378,0.3089276425404629,3,3,0,Home,0,24,21,1357,2246,496594,22556,1250.0,0.8808597634247228,6,0
57,615,Employed,Associate,39,7469,60,Single,0,Rent,413,0.1137618678075246,6,2,0,Home,0,18,24,1872,8480,36531,70691,7224.916666666667,0.9194949321063196,6,1
33,540,Employed,Associate,8,17801,48,Married,4,Own,226,0.1530945685800469,4,1,0,Debt Consolidation,0,38,21,8380,1994,70945,22271,1473.0,0.8784232811240572,5,0
30,517,Employed,High School,4,14379,36,Married,2,Rent,363,0.3577786360795207,3,0,0,Auto,0,18,2,6094,1404,172820,26438,3562.6666666666665,0.816055799105247,4,0
33,570,Employed,Associate,12,40138,24,Married,3,Other,685,0.1412970784565487,2,1,0,Debt Consolidation,0,28,19,1461,1471,86250,50013,2424.6666666666665,0.7607583903351405,4,0
50,663,Employed,Bachelor,30,24642,48,Single,0,Rent,664,0.2526376838731083,0,0,0,Home,0,28,17,4726,1723,52202,13350,5082.666666666667,0.9171479632528536,4,0
43,524,Employed,Master,21,19105,60,Married,0,Mortgage,824,0.106728644103128,5,0,1,Education,0,24,29,9197,302,49889,4301,8336.0,0.8314939467511734,6,1
33,620,Employed,Master,11,9259,48,Single,0,Own,257,0.1702458363341031,3,0,0,Home,0,23,11,3552,1162,61154,91262,2990.1666666666665,0.8833715788381252,3,0
46,623,Employed,High School,22,17468,60,Married,1,Other,1180,0.0874823837188859,4,0,0,Debt Consolidation,0,23,19,7428,2122,299192,4938,2731.75,0.6609536549602993,2,0
41,585,Employed,Bachelor,18,20069,72,Married,3,Rent,407,0.0059223893278881,5,0,0,Home,0,25,7,3815,1252,24114,24580,4308.916666666667,0.8373237138844005,4,0
51,596,Unemployed,Bachelor,30,66582,24,Single,0,Rent,357,0.5664480969779048,2,2,0,Home,1,21,25,2313,945,30153,37940,2604.25,0.7840615661655488,5,0
31,524,Employed,High School,11,26889,48,Married,2,Mortgage,216,0.2211316958194412,5,1,0,Auto,0,14,8,24764,3578,131521,46881,1863.25,0.8538791924339512,4,0
36,610,Employed,Associate,12,24815,48,Married,3,Other,148,0.103056870955778,3,1,0,Home,0,21,25,4346,587,127009,89100,12720.833333333334,0.7725809772296938,6,1
35,562,Self-Employed,Master,11,21849,84,Married,0,Rent,423,0.5157266656021708,5,1,0,Debt Consolidation,0,24,26,1874,1245,18522,14697,1260.0,0.951149524950168,5,0
22,570,Self-Employed,Associate,0,22734,24,Single,2,Rent,246,0.432399872563476,3,2,0,Debt Consolidation,0,29,9,2511,329,449345,13537,4985.833333333333,0.7485047297788853,7,1
43,645,Employed,Doctorate,22,19539,72,Single,0,Other,362,0.0715581905110223,3,0,0,Debt Consolidation,0,29,24,5995,932,101618,7871,4609.0,0.9664762707448832,4,1
43,601,Employed,Bachelor,17,25291,36,Married,0,Mortgage,286,0.0509513419696787,1,0,0,Auto,0,19,25,7167,291,99978,21318,2579.0,0.7435777656921195,9,0
40,592,Employed,Associate,21,15752,96,Married,0,Mortgage,213,0.4250499826740336,3,0,0,Debt Consolidation,0,20,7,1349,634,97769,33321,4745.0,0.7907911613907693,5,0
37,539,Employed,High School,13,28714,60,Married,3,Rent,457,0.4141824374841434,3,1,0,Home,0,10,29,5872,2939,331208,29418,3666.6666666666665,0.946449956266186,8,0
23,509,Employed,High School,4,35101,72,Married,1,Rent,519,0.3579209013937276,5,0,0,Home,0,23,24,3233,1955,84421,14641,6796.166666666667,0.8231243849036931,5,0
34,612,Employed,Bachelor,13,17339,60,Single,1,Mortgage,194,0.0873860931301412,1,1,0,Education,0,17,14,2738,512,55729,81589,2213.9166666666665,0.6828916312462736,4,0
35,596,Employed,Bachelor,9,37172,48,Divorced,0,Mortgage,212,0.2629147472900452,3,0,0,Home,0,20,8,2103,12534,56452,23346,2797.4166666666665,0.7067858949522561,6,0
30,608,Employed,Bachelor,6,15917,36,Married,3,Own,203,0.1643775271640669,3,2,0,Home,0,23,2,3382,7940,54668,13137,7853.166666666667,0.6076754325693814,3,1
38,587,Employed,Bachelor,17,11431,48,Divorced,1,Mortgage,879,0.1261249456996093,5,0,0,Education,0,27,24,7060,2678,119670,26515,3762.0833333333335,0.9581471730380612,9,1
44,597,Employed,Master,23,34590,48,Divorced,0,Rent,324,0.30403187309642,1,1,0,Home,0,22,19,2050,1136,3628,21804,5906.75,0.7870640617697736,8,0
62,656,Employed,Associate,39,13937,108,Widowed,3,Mortgage,391,0.2489745651437896,6,2,1,Home,0,32,26,1960,2516,62442,28628,8770.0,0.96470514370327,4,0
42,517,Unemployed,Bachelor,18,22221,48,Single,0,Mortgage,623,0.2838588898758306,2,3,0,Auto,0,41,18,3930,136,80888,12851,5309.083333333333,0.6208073821759903,3,0
43,487,Self-Employed,Bachelor,18,38865,48,Married,1,Rent,314,0.2499556834175538,2,3,0,Auto,0,20,6,395,231,49718,43113,2642.75,0.9786517361897752,3,0
39,536,Employed,High School,17,23396,72,Single,3,Mortgage,589,0.1038206712651684,3,0,0,Debt Consolidation,0,28,4,470,2353,23801,36682,2491.6666666666665,0.9365135983784778,6,0
18,608,Employed,Master,0,10667,72,Single,3,Mortgage,725,0.2219630213117185,4,0,0,Auto,1,23,19,1134,551,71561,5492,7306.083333333333,0.7363489048266613,5,1
39,565,Self-Employed,Bachelor,16,35551,36,Married,3,Mortgage,1206,0.2406738956667675,5,0,0,Auto,0,22,13,4159,1098,33268,27329,4621.166666666667,0.9733609129905876,4,0
40,558,Employed,High School,18,31637,120,Married,2,Own,269,0.1727113925422437,5,2,0,Auto,0,22,9,9140,398,141270,20184,3393.5,0.8019917617833859,4,0
69,680,Employed,Master,49,34173,48,Married,1,Rent,407,0.1586768373024463,7,2,0,Home,0,20,3,2220,3117,78008,5915,6380.916666666667,0.959075228326481,7,0
37,525,Employed,Master,14,18493,48,Married,2,Rent,288,0.0859222327796731,1,1,0,Auto,0,25,6,3120,3491,99630,10098,1908.4166666666667,0.9247388971617914,3,0
43,609,Employed,Bachelor,21,17161,72,Married,3,Other,438,0.3621156053362238,3,4,0,Debt Consolidation,0,21,8,10050,1546,17627,40586,4118.416666666667,0.8538435594219569,8,0
39,611,Employed,Associate,16,31845,48,Divorced,3,Rent,544,0.3749899526791381,4,2,1,Home,0,32,15,1192,5407,30751,34764,3625.5833333333335,0.7286152906659061,7,0
25,572,Employed,Doctorate,4,25900,36,Married,4,Mortgage,419,0.1113135565726894,2,2,0,Home,0,29,21,9920,6772,36312,37402,3450.1666666666665,0.729440679148017,6,0
53,626,Employed,High School,30,15770,48,Married,0,Mortgage,442,0.2279538059258588,3,0,0,Debt Consolidation,1,22,19,14266,762,15028,29045,3117.083333333333,0.8538652603658562,3,0
49,564,Employed,Bachelor,29,19629,48,Single,0,Rent,346,0.2845530444179331,6,1,0,Home,0,18,19,993,1120,91813,16583,4033.25,0.8816550375388991,1,0
49,574,Employed,High School,28,20270,48,Divorced,4,Mortgage,228,0.1537465730129016,3,0,0,Education,0,28,7,3070,1348,31257,64801,3731.25,0.84456748953186,5,0
29,580,Employed,Associate,7,12133,48,Widowed,0,Own,543,0.4563506459374977,3,1,0,Home,0,20,20,16833,1592,18425,10411,10475.916666666666,0.7066975949742867,5,1
56,634,Employed,Master,30,25599,48,Married,2,Rent,351,0.2426003682938966,1,1,0,Home,1,25,5,2458,2915,73848,15145,1260.9166666666667,0.778020135748182,7,0
23,603,Employed,Bachelor,0,12055,36,Married,2,Other,491,0.010550359397377,8,0,0,Education,0,26,1,1924,600,50167,59651,6131.333333333333,0.7665230614013436,5,1
47,602,Employed,Bachelor,22,18805,48,Married,1,Mortgage,441,0.4682993166153103,2,1,0,Home,0,24,1,13605,785,50714,3537,4195.416666666667,0.5794889302075689,3,0
66,669,Employed,Associate,41,20719,12,Single,2,Mortgage,288,0.3201989296751192,4,1,0,Auto,0,28,27,8124,705,636666,14955,4734.666666666667,0.7062527329182626,6,1
28,621,Employed,Master,0,18962,48,Single,0,Mortgage,444,0.2153448383537081,4,0,0,Debt Consolidation,0,36,1,8955,256,89846,11153,2882.333333333333,0.6647634811526894,3,0
33,565,Employed,Associate,10,9093,48,Married,3,Own,419,0.3080942448964131,4,0,0,Auto,0,18,21,6607,1948,13714,6183,4615.25,0.6376914646557146,2,1
41,551,Employed,High School,16,15086,72,Married,2,Mortgage,323,0.2629592287911378,1,0,0,Debt Consolidation,0,24,26,562,1662,64928,61849,5431.666666666667,0.5761223937843625,7,1
33,523,Employed,Bachelor,8,13879,60,Married,2,Rent,248,0.258464995124704,2,2,0,Auto,0,29,13,12973,290,27247,5651,1250.0,0.7785983863246368,2,0
21,560,Employed,Associate,0,27917,48,Married,0,Own,604,0.3076271019395862,1,0,0,Auto,0,27,9,3003,2256,290530,10999,12478.0,0.8278309677340422,6,1
40,585,Employed,High School,14,41561,24,Divorced,3,Other,326,0.3800835716089359,2,1,0,Home,0,21,24,489,759,48731,10782,3559.75,0.6584504522019998,3,0
27,590,Employed,Master,5,9493,48,Married,3,Mortgage,408,0.644568842556894,3,1,0,Home,0,27,17,2012,1060,112110,24837,5534.75,0.7588609525120575,9,1
45,602,Employed,Bachelor,23,18805,60,Divorced,3,Other,250,0.2210274421152772,0,2,0,Home,0,32,12,667,2669,63386,7364,1843.4166666666667,0.9867449095215128,2,0
28,620,Employed,Master,5,18686,60,Married,0,Rent,278,0.1221470589494719,1,1,0,Education,0,24,24,4575,1163,9316,17652,3129.833333333333,0.8532237481232183,10,0
58,621,Employed,Bachelor,36,16421,24,Married,0,Rent,607,0.1916414193207638,1,0,0,Home,1,28,27,1619,306,48831,27992,11224.25,0.8842708944465567,4,1
30,539,Employed,High School,7,29824,60,Married,0,Rent,358,0.1847873399309997,3,0,0,Education,0,17,19,2548,1004,220116,8784,2758.4166666666665,0.9113831973407766,0,0
36,439,Employed,High School,10,5538,36,Divorced,1,Mortgage,313,0.3314445993974999,3,1,0,Other,0,26,12,2471,764,203672,8223,3697.0,0.8680864326045541,7,1
49,499,Employed,Master,27,13078,36,Married,2,Other,292,0.148254550452486,1,2,0,Debt Consolidation,1,24,23,1121,1118,40099,121827,3216.333333333333,0.8030584112494779,6,0
25,439,Unemployed,High School,3,40858,48,Single,0,Rent,293,0.1728898066948234,1,0,0,Auto,0,28,22,427,1429,51633,5937,11662.833333333334,0.5887569424712554,2,0
42,521,Unemployed,Bachelor,19,16462,60,Married,0,Other,730,0.3684903388772527,4,1,0,Auto,0,24,12,4608,638,44150,32195,4453.666666666667,0.5809484460351957,7,0
55,643,Employed,High School,33,10990,60,Married,0,Own,427,0.3060192614473559,4,2,0,Auto,0,25,18,4279,2107,130005,17536,9460.25,0.8653741651174964,4,1
20,581,Employed,Bachelor,1,6624,12,Married,1,Mortgage,151,0.464867466093846,5,2,0,Other,1,27,20,2857,478,78348,31210,2605.833333333333,0.7802279615770682,6,0
42,520,Employed,High School,21,20915,60,Divorced,4,Other,616,0.3926780588481041,4,2,0,Auto,0,25,20,1085,2885,8920,11975,3893.0833333333335,0.9889078460701592,1,0
43,564,Employed,High School,19,25148,36,Single,0,Mortgage,340,0.5136588368001973,5,1,0,Home,0,20,3,4138,1730,226679,47469,4717.75,0.5005037363000974,8,0
49,612,Employed,Bachelor,24,51374,72,Married,1,Rent,380,0.116597619683324,1,2,0,Home,0,35,19,10374,565,45230,263937,7240.166666666667,0.5470855796326178,8,0
25,598,Employed,Associate,5,17992,96,Single,1,Rent,545,0.0114707390916024,3,1,0,Debt Consolidation,0,31,15,915,506,19626,7056,5823.0,0.8042212823161409,5,0
24,513,Self-Employed,Bachelor,4,26598,60,Divorced,0,Rent,231,0.4625920674621868,5,1,0,Debt Consolidation,0,24,21,288,1263,32463,10978,2715.1666666666665,0.8519066808790127,4,0
46,612,Employed,Bachelor,23,30836,84,Divorced,3,Mortgage,323,0.6055536860613306,6,0,0,Education,1,26,14,7528,378,62262,36152,8463.5,0.7734253915833851,5,0
43,548,Unemployed,Bachelor,25,21110,24,Married,0,Other,489,0.5774590354323942,0,1,0,Education,0,30,18,10586,1352,190056,20979,2050.9166666666665,0.7565857226468845,5,0
43,594,Employed,Associate,21,17603,120,Married,1,Own,389,0.1581449304593628,3,5,0,Auto,0,19,23,612,293,24284,46780,1865.8333333333333,0.9182481307609824,3,0
44,605,Employed,Bachelor,25,32684,60,Married,5,Mortgage,377,0.6351421226572908,2,0,0,Debt Consolidation,0,31,17,673,505,57941,32526,3952.5,0.7162418050569915,5,0
